Title,location,Price
"
        3bdrm Apartment in Billcotey Property, Spintex for Rent
    ","
            Spintex
        ","
        4,500
    "
"
        3bdrm Townhouse/Terrace in East Legon Hills for Rent
    ","
            East Legon
        ","
        6,750
    "
"
        Furnished 5bdrm Townhouse/Terrace in Airport Residential Area for Rent
    ","
            Airport Residential Area
        ","
        37,500
    "
"
        3bdrm Apartment in East Legon, a C Mall Area for Rent
    ","
            East Legon, A&C Mall Area
        ","
        14,474
    "
"
        3bdrm Apartment in Hamza Estates, East Legon for Rent
    ","
            East Legon
        ","
        4,577
    "
"
        3bdrm House in Community 18, Spintex for Rent
    ","
            Spintex
        ","
        2,000
    "
"
        5bdrm Townhouse/Terrace in Airport Residential Area for Rent
    ","
            Airport Residential Area
        ","
        37,500
    "
"
        1bdrm Apartment in Abgobga, Ga East Municipal for Rent
    ","
            Ga East Municipal
        ","
        800
    "
"
        3bdrm Apartment in Spintex for Rent
    ","
            Spintex
        ","
        2,500
    "
"
        3bdrm House in Lakeside Estate, East Legon for Rent
    ","
            East Legon
        ","
        4,000
    "
"
        4bdrm House in Ga East Municipal for Rent
    ","
            Ga East Municipal
        ","
        7,300
    "
"
        2bdrm Apartment in Sam Properties, Ga South Municipal for Rent
    ","
            Ga South Municipal
        ","
        900
    "
"
        2bdrm Apartment in East Legon Ghana, Ashomang Estate for Rent
    ","
            Ashomang Estate
        ","
        2,400
    "
"
        2bdrm Apartment in Weija for Rent
    ","
            Weija
        ","
        695
    "
"
        4bdrm Townhouse in Adjiringanor, American House for Rent
    ","
            East Legon, American House
        ","
        11,547
    "
"
        5bdrm House in Rosgy Properries Ltd, East Legon for Rent
    ","
            East Legon
        ","
        9,900
    "
"
        2bdrm Apartment in Adom Agency, Teshie for Rent
    ","
            Teshie
        ","
        800
    "
"
        Executive 5 Bedrooms House 2 Boy’S Quarters for Rentals
    ","
            East Legon
        ","
        8,700
    "
"
        4bdrm Duplex in Adjiringanor, East Legon for Rent
    ","
            East Legon
        ","
        9,000
    "
"
        Furnished 5bdrm Townhouse/Terrace in East Legon for Rent
    ","
            East Legon
        ","
        22,800
    "
"
        1bdrm Apartment in Ablekuma for Rent
    ","
            Ablekuma
        ","
        600
    "
"
        2bdrm Apartment in West Legon for Rent
    ","
            West Legon
        ","
        2,500
    "
"
        Furnished 5bdrm Mansion for Rent
    ","
            Airport Residential Area
        ","
        18,700
    "
"
        2bdrm Apartment in Legacy Consult, Ledzokuku-Krowor for Rent
    ","
            Ledzokuku-Krowor
        ","
        2,200
    "
"
        NEWLY BUILT 2 BEDRMS APARTMENT FOR RENTAL AT BOTSWE LAKE SIDE
    ","
            Agbogbloshie
        ","
        1,400
    "
"
        3bdrm Apartment in Victor Adzorlolo, Ga East Municipal for Rent
    ","
            Ga East Municipal
        ","
        2,500
    "
"
        4bdrm Duplex in East Legon for Rent
    ","
            East Legon
        ","
        17,500
    "
"
        3bdrm Apartment in Eastairport, Accra Metropolitan for Rent
    ","
            Accra Metropolitan
        ","
        8,840
    "
"
        4bdrm House in Adjiringanor, East Legon for Rent
    ","
            East Legon
        ","
        6,822
    "
"
        1bdrm Apartment in Sam Propreties, Ga South Municipal for rent
    ","
            Ga South Municipal
        ","
        700
    "
"
        3bdrm Apartment in Ofankor, Accra Metropolitan for Rent
    ","
            Accra Metropolitan
        ","
        1,400
    "
"
        2bdrm Apartment in Alliance Properties, East Legon for Rent
    ","
            East Legon
        ","
        3,365
    "
"
        4bdrm Townhouse in US Embassy Area for Rent
    ","
            Cantonments, US Embassy Area
        ","
        30,000
    "
"
        4bdrm Bungalow in Kantapo Road, Pokuase for Rent
    ","
            Pokuase
        ","
        2,000
    "
"
        Luxurious 4 Bedrooms Mansion With Swimming Pool for Rent
    ","
            Airport Residential Area
        ","
        17,700
    "
"
        3bdrm Apartment in Hamza Estates, East Legon for Rent
    ","
            East Legon
        ","
        4,500
    "
"
        3bdrm Apartment in Naw England, Airport Residential Area for Rent
    ","
            Airport Residential Area
        ","
        4,000
    "
"
        2bdrm Apartment in East Legon for rent
    ","
            East Legon
        ","
        2,500
    "
"
        4bdrm House in Alliance Properties, East Legon for Rent
    ","
            East Legon
        ","
        9,000
    "
"
        3bdrm House in East Legon Hills for Rent
    ","
            East Legon
        ","
        4,000
    "
"
        Townhouse to Let at Cantonments for $4000 a Month
    ","
            Cantonments
        ","
        278,400
    "
"
        4bdrm House in Richmond Estate, East Legon for Rent
    ","
            East Legon
        ","
        1,960,000
    "
"
        LUXURIOUS 6 BEDROOMS HOUSE AT TRASACACO VALLEY FOR
    ","
            Agbogbloshie
        ","
        25,850
    "
"
        2bdrm Apartment in East Legon for Rent
    ","
            East Legon
        ","
        5,250
    "
"
        5bedroom House for Rent - Trassacco Phase 2
    ","
            East Legon
        ","
        11,400
    "
"
        4bdrm Townhouse in North Legon, Ga East Municipal for Rent
    ","
            Ga East Municipal
        ","
        3,600
    "
"
        4bdrm Mansion in Adjirigano, East Legon for Rent
    ","
            East Legon
        ","
        11,500
    "
"
        Executive 4bdrm Hse in Townhse 4rent at East Legon-Adgringanor
    ","
            East Legon
        ","
        6,960
    "
"
        4bdrm House in Franko Estates, Accra Metropolitan for Rent
    ","
            Accra Metropolitan
        ","
        4,000
    "
"
        5bdrm House in Volta Estate, Spintex for Rent
    ","
            Spintex
        ","
        4,000
    "
"
        1bdrm House in East Lagon Hills for Rent
    ","
            East Legon
        ","
        1,800
    "
"
        2bdrm Apartment in East Legon for Rent
    ","
            East Legon
        ","
        2,500
    "
"
        Furnished 1bdrm Apartment in Executivehousesghana, Ability for Rent
    ","
            Adjiriganor, Ability
        ","
        16,000
    "
"
        2bdrm Apartment in McCarthy Hill, MacCharty Hills for Rent
    ","
            Gbawe, MacCharty Hills
        ","
        3,000
    "
"
        2bdrm Apartment in East Legon for Rent
    ","
            East Legon
        ","
        3,300
    "
"
        2bdrm Apartment in Accra Metropolitan for Rent
    ","
            Accra Metropolitan
        ","
        1,200
    "
"
        3bdrm Apartment in Ddlzabeth Properties, East Legon for Rent
    ","
            East Legon
        ","
        4,200
    "
"
        5bdrm Duplex in East Legon for Rent
    ","
            East Legon
        ","
        17,500
    "
"
        3bdrm Townhouse in Sagepropertiesgh, Airport Residential Area for Rent
    ","
            Airport Residential Area
        ","
        19,140
    "
"
        5bdrm House in Excel-Fame Consult, East Legon for rent
    ","
            East Legon
        ","
        14,500
    "
"
        2bdrm Apartment in Kik, East Legon for Rent
    ","
            East Legon
        ","
        2,000
    "
"
        5bdrm House in Ridge for Rent
    ","
            Ridge
        ","
        27,000
    "
"
        4bdrm House in Rosgy Properties Ltd, East Legon for Rent
    ","
            East Legon
        ","
        11,400
    "
"
        4bdrm Duplex in Ga East Municipal for Rent
    ","
            Ga East Municipal
        ","
        2,500
    "
"
        4 Bedrooms Mansion Swimming Pool for Rentals at East Legon
    ","
            East Legon
        ","
        29,000
    "
"
        3bdrm Apartment in East Legon for Rent
    ","
            East Legon
        ","
        4,969
    "
"
        NEWLY BUILT 4 BEDRM HOUSE FOR RENT AT NORTH LEGON NEAR ECOMOC FOR 3000
    ","
            Agbogbloshie
        ","
        3,000
    "
"
        4bdrm Townhouse/Terrace in Stepup Properties, Cantonments for Rent
    ","
            Cantonments
        ","
        29,400
    "
"
        4bdrm Duplex in Amascorealty, East Legon for Rent
    ","
            East Legon
        ","
        10,800
    "
"
        Furnished 2bdrm Apartment in St. Peter, East Legon for Rent
    ","
            East Legon
        ","
        9,100
    "
"
        Furnished 2bdrm Apartment in West Trasaco, Ashaley Botwe for Rent
    ","
            Ashaley Botwe
        ","
        26,000
    "
"
        4 Bedroom Townhouses for Rent AT Dzorwulu at $4000/Month
    ","
            Dzorwulu
        ","
        22,800
    "
"
        3bdrm Apartment in Spintex, Ledzokuku-Krowor for Rent
    ","
            Ledzokuku-Krowor
        ","
        3,500
    "
"
        Furnished 1bdrm Condo in Executivehousesghana, East Legon for Rent
    ","
            East Legon
        ","
        16,000
    "
"
        4bdrm Apartment in Sinco Properties, East Legon for rent
    ","
            East Legon
        ","
        7,518
    "
"
        5bdrm House in East Legon for Rent
    ","
            East Legon
        ","
        11,000
    "
"
        4bdrm House in Coastal Estate, Spintex for Rent
    ","
            Spintex
        ","
        6,000
    "
"
        4bdrm Duplex in Living Large, East Legon for Rent
    ","
            East Legon
        ","
        7,800
    "
"
        2bdrm Apartment in Ayathar Bedroom, New Town for Rent
    ","
            Teshie, Teshie New Town
        ","
        1,000
    "
"
        3bdrm House in Oyarifa, East Legon for Rent
    ","
            East Legon
        ","
        2,500
    "
"
        2bdrm Apartment in South Shiashie for Rent
    ","
            South Shiashie
        ","
        6,000
    "
"
        3bdrm House in Rosgy Properties Ltd, East Legon for Rent
    ","
            East Legon
        ","
        6,800
    "
"
        4bedroom House Available For Rent In East Legon
    ","
            East Legon
        ","
        8,000
    "
"
        EXCLUSIVE 4 BEDRMS HOUSE FOR RENT AT EAST LEGON-ADJIRINGANOR -ABILITY
    ","
            Agbogbloshie
        ","
        6,000
    "
"
        3bdrm Townhouse/Terrace in East Legon for Rent
    ","
            East Legon
        ","
        9,500
    "
"
        3bdrm Apartment in Trasacco, East Legon for Rent
    ","
            East Legon
        ","
        7,500
    "
"
        4bdrm Apartment in Lakeside Estate, Ashaley Botwe for Rent
    ","
            Ashaley Botwe
        ","
        500,000
    "
"
        4bdrm Duplex in Propertice Affairs, Ga South Municipal for Rent
    ","
            Ga South Municipal
        ","
        2,500
    "
"
        3bdrm House in Salem Estate, East Legon for Rent
    ","
            East Legon
        ","
        5,245
    "
"
        3bdrm Apartment in North Ridge for Rent
    ","
            Ridge, North Ridge
        ","
        20,000
    "
"
        1bdrm Apartment in Boshe, Accra Metropolitan for Rent
    ","
            Accra Metropolitan
        ","
        800
    "
"
        5bdrm Mansion in Excel-Fame Consult, East Legon for Rent
    ","
            East Legon
        ","
        16,200
    "
"
        3bdrm Apartment in East Legon for Rent
    ","
            East Legon
        ","
        2,700
    "
"
        4bdrm Duplex in Living Large, East Legon for Rent
    ","
            East Legon
        ","
        4,000
    "
"
        5bdrm Duplex in Ddlzabeth Properties, East Legon for Rent
    ","
            East Legon
        ","
        29,000
    "
"
        Executive 4 Bedrooms Duplex House for Rentals
    ","
            East Legon
        ","
        6,500
    "
"
        2bdrm House in Community 18, Spintex for Rent
    ","
            Spintex
        ","
        1,800
    "
"
        2bdrm Apartment in Ga East Municipal for Rent
    ","
            Ga East Municipal
        ","
        1,200
    "
"
        4bdrm House in East Legon Nana Krom for Rent
    ","
            East Legon
        ","
        7,668
    "
"
        3bdrm Apartment in Hamza Estates, East Legon for Rent
    ","
            East Legon
        ","
        2,500
    "
"
        2bdrm House in Devtraco Estate, Spintex for Rent
    ","
            Spintex
        ","
        1,800
    "
"
        2bdrm Apartment in East Legon for Rent
    ","
            East Legon
        ","
        14,400
    "
"
        Executive Newly Built 4 Bed House to Let at Lakeside
    ","
            East Legon
        ","
        7,000
    "
"
        4bdrm Duplex in Ben Properties, Ga East Municipal for rent
    ","
            Ga East Municipal
        ","
        3,000
    "
"
        3bdrm Apartment in a C Mall Area for Rent
    ","
            East Legon, A&C Mall Area
        ","
        13,680
    "
"
        2bdrm Block of Flats in Ben Properties, Ga East Municipal for Rent
    ","
            Ga East Municipal
        ","
        1,500
    "
"
        2bdrm Apartment in Alliance Properties, East Legon for Rent
    ","
            East Legon
        ","
        3,900
    "
"
        4bdrm House in East Legon Trassaco, Accra Metropolitan for Rent
    ","
            Accra Metropolitan
        ","
        6,000
    "
"
        2bdrm House in Ashaley Botwe for Rent
    ","
            Ashaley Botwe
        ","
        1,700
    "
"
        2bdrm Apartment in Riches, Pokuase for Rent
    ","
            Pokuase
        ","
        1,300
    "
"
        Furnished 2bdrm Apartment in Ridge for Rent
    ","
            Ridge
        ","
        18,000
    "
"
        Executive 5 Bedroom House for Rent at West Trasacco
    ","
            East Legon
        ","
        5,700
    "
