Title,location,Price
"
        3bdrm Duplex in Fastinas Real Estate, Ga South Municipal for Rent
    ","
            Ga South Municipal
        ","
        1,700
    "
"
        4bdrm House in Airport Residential for Rent
    ","
            Airport Residential Area
        ","
        1,740,832
    "
"
        4bdrm Townhouse in East Legon for Rent
    ","
            East Legon
        ","
        15,000
    "
"
        2bdrm Apartment in Com.25 ( Top 10), Tema Metropolitan for Rent
    ","
            Tema Metropolitan
        ","
        1,200
    "
"
        3bdrm Bungalow in Kutunse, Accra Metropolitan for rent
    ","
            Accra Metropolitan
        ","
        800
    "
"
        2bdrm Duplex in Nana Williams, East Legon for Rent
    ","
            East Legon
        ","
        5,200
    "
"
        LUXURIOUS 5 BEDROOMS HOUSE FOR RENTALS AT TRASACACO VALLEY
    ","
            Agbogbloshie
        ","
        21,150
    "
"
        Furnished 4bdrm House in East Legon for Rent
    ","
            East Legon
        ","
        15,147
    "
"
        2bdrm Apartment in Tseaddo, Airport Residential Area for Rent
    ","
            Airport Residential Area
        ","
        3,000
    "
"
        4bdrm House in Praemus Properties, Airport Residential Area for Rent
    ","
            Airport Residential Area
        ","
        17,400
    "
"
        Furnished 4bdrm Block of Flats in East Legon Near the for Rent
    ","
            East Legon
        ","
        23,000
    "
"
        1bdrm House in Dome for Rent
    ","
            Dome
        ","
        500
    "
"
        2bdrm Apartment in East Legon for Rent
    ","
            East Legon
        ","
        1,500
    "
"
        5bdrm Mansion in Fastinas Real Estate, Ga East Municipal for Rent
    ","
            Ga East Municipal
        ","
        18,700
    "
"
        3bdrm Apartment in Tseaddo, Airport Residential Area for Rent
    ","
            Airport Residential Area
        ","
        2,800
    "
"
        3bdrm Apartment in Accra Metropolitan for Rent
    ","
            Accra Metropolitan
        ","
        5,000
    "
"
        4bdrm House in Hfc Estate, Spintex for Rent
    ","
            Spintex
        ","
        5,000
    "
"
        3bdrm Apartment in Delight Agency, a C Mall Area for Rent
    ","
            East Legon, A&C Mall Area
        ","
        10,000
    "
"
        4bdrm House in East Legon Ars, Boundary Road Area for Rent
    ","
            East Legon, Boundary Road Area
        ","
        6,000
    "
"
        4bdrm House in East Legon American for Rent
    ","
            East Legon, American House
        ","
        7,200
    "
"
        Furnished 5bdrm House in a C Mall Area for Rent
    ","
            East Legon, A&C Mall Area
        ","
        35,000
    "
"
        3bdrm House in Marvin Properties, Dome for Rent
    ","
            Dome
        ","
        5,000
    "
"
        4bdrm Townhouse/Terrace in Airport Residential Area for Rent
    ","
            Airport Residential Area
        ","
        30,000
    "
"
        5bdrm House in East Legon for Rent
    ","
            East Legon
        ","
        7,943
    "
"
        4bdrm Townhouse/Terrace in Living Large, East Legon for Rent
    ","
            East Legon
        ","
        7,440
    "
"
        3bdrm Townhouse/Terrace in Cantonments, US Embassy Area for Rent
    ","
            Cantonments, US Embassy Area
        ","
        18,000
    "
"
        2bdrm Apartment in Airport Residential for Rent
    ","
            Airport Residential Area
        ","
        8,668
    "
"
        2bdrm House in Bestchoice Property, Abelemkpe for Rent
    ","
            Abelemkpe
        ","
        7,000
    "
"
        EXECUTIVES 5 BEDROOMS HUS 1 BEDROOMS FOR RENT AT TRASACO
    ","
            East Legon
        ","
        12,000
    "
"
        4bdrm Duplex in East Legon, Accra Metropolitan for Rent
    ","
            Accra Metropolitan
        ","
        14,500
    "
"
        4bdrm House in East Legon for Rent
    ","
            East Legon
        ","
        20,400
    "
"
        4bdrm Duplex in Ga East Municipal for Rent
    ","
            Ga East Municipal
        ","
        2,200
    "
"
        3bdrm Apartment in Legacy Consult, Ledzokuku-Krowor for Rent
    ","
            Ledzokuku-Krowor
        ","
        2,000
    "
"
        4bdrm Duplex in East Legon for Rent
    ","
            East Legon
        ","
        7,200
    "
"
        Furnished 4bdrm House in Praemus Properties, Ga East Municipal
    ","
            Ga East Municipal
        ","
        11,900
    "
"
        4bdrm House in Teshie Bushroad Cave for Rent
    ","
            Teshie
        ","
        4,000
    "
"
        3bdrm House in Spintex for Rent
    ","
            Spintex
        ","
        2,500
    "
"
        2bdrm Apartment in Old Ashomang for Rent
    ","
            Old Ashomang
        ","
        1,700
    "
"
        7bdrm House in Teshie for Rent
    ","
            Teshie
        ","
        7,500
    "
"
        2bdrm Townhouse/Terrace in East Legon Hills for Rent
    ","
            East Legon
        ","
        4,500
    "
"
        1bdrm Apartment in Main Men Properties, Teshie for Rent
    ","
            Teshie
        ","
        500
    "
"
        Executive Nice 4 Bedroom House to Let at West Trasacco
    ","
            East Legon
        ","
        6,000
    "
"
        3bdrm Apartment in Old Ashomang for Rent
    ","
            Old Ashomang
        ","
        1,800
    "
"
        2bdrm Apartment in Tseaddo, Airport Residential Area for Rent
    ","
            Airport Residential Area
        ","
        2,500
    "
"
        Furnished 5bdrm House in Excel-Fame Consult, Airport Residential Area
    ","
            Airport Residential Area
        ","
        37,700
    "
"
        3bdrm Apartment in Phils Real Estates, Adjiriganor for Rent
    ","
            Adjiriganor
        ","
        8,000
    "
"
        2bdrm House in Orlando Properties, Oyarifa for Rent
    ","
            Oyarifa
        ","
        1,500
    "
"
        4bdrm House in Community 20, Spintex for Rent
    ","
            Spintex
        ","
        2,600
    "
"
        1bdrm Apartment in School Junction, East Legon for rent
    ","
            East Legon
        ","
        1,500
    "
"
        2bdrm Apartment in East Legon for Rent
    ","
            East Legon
        ","
        1,300
    "
"
        2bdrm Apartment in Legacy Consult, Ledzokuku-Krowor for Rent
    ","
            Ledzokuku-Krowor
        ","
        1,300
    "
"
        2bdrm Mansion in East Legon for Rent
    ","
            East Legon
        ","
        5,800
    "
"
        7bdrm Duplex in East Legon for Rent
    ","
            East Legon
        ","
        26,687
    "
"
        3bdrm Bungalow in Yakasim Estates, Oyarifa for Rent
    ","
            Oyarifa
        ","
        2,200
    "
"
        1bdrm Apartment in Ashiye, Frafraha for Rent
    ","
            Adenta, Frafraha
        ","
        900
    "
"
        2bdrm Apartment in Ashongman Estate for Rent
    ","
            Ashomang Estate
        ","
        1,500
    "
"
        2bdrm Apartment in Ga East Municipal for Rent
    ","
            Ga East Municipal
        ","
        1,700
    "
"
        2bdrm Apartment in East Legon for Rent
    ","
            East Legon
        ","
        1,600
    "
"
        3bdrm Apartment in Tseaddo Roundabout, Airport Residential Area
    ","
            Airport Residential Area
        ","
        4,200
    "
"
        3bdrm House in Excel-Fame Consult, East Legon for Rent
    ","
            East Legon
        ","
        9,000
    "
"
        2bdrm Apartment in Bestchoice Property, Accra Metropolitan for Rent
    ","
            Accra Metropolitan
        ","
        900
    "
"
        Furnished 3bdrm Apartment in Ddl Properties, Cantonments for Rent
    ","
            Cantonments
        ","
        22,500
    "
"
        3bdrm Apartment in North Legon, Haatso for Rent
    ","
            Haatso
        ","
        2,500
    "
"
        2bdrm Apartment in East Legon Hills, Police Station for Rent
    ","
            East Legon, East Legon Police Station
        ","
        3,600
    "
"
        4bdrm House in Kobbies Properties, East Legon for Rent
    ","
            East Legon
        ","
        6,300
    "
"
        Furnished 2bdrm Apartment in Excel-Fame Consult, East Legon for Rent
    ","
            East Legon
        ","
        8,850
    "
"
        4bdrm Townhouse/Terrace in East Legon for Rent
    ","
            East Legon
        ","
        6,058
    "
"
        3bedrooms Apartment at Academic University College Mango Len
    ","
            Ga East Municipal
        ","
        1,500
    "
"
        3bdrm Townhouse/Terrace in East Legon Hills for Rent
    ","
            East Legon
        ","
        6,000
    "
"
        Furnished 3bdrm Apartment in East Legon for Rent
    ","
            East Legon
        ","
        16,000
    "
"
        2bdrm Apartment in Delight Agency, Accra Metropolitan for Rent
    ","
            Accra Metropolitan
        ","
        2,000
    "
"
        3bdrm Apartment in Spintex for Rent
    ","
            Spintex
        ","
        2,000
    "
"
        4bdrm House in East Legon for Rent
    ","
            East Legon
        ","
        22,000
    "
"
        4bdrm Duplex in Spintex for Rent
    ","
            Spintex
        ","
        3,500
    "
"
        3bdrm House in Community 20, Spintex for Rent
    ","
            Spintex
        ","
        4,000
    "
"
        2bdrm Apartment in Pejei Consult, Accra Metropolitan for rent
    ","
            Accra Metropolitan
        ","
        700
    "
"
        4bdrm House in Praemus Properties, American House for Rent
    ","
            East Legon, American House
        ","
        6,000
    "
"
        Newly Built Four Bedroom Five Washrooms At East Legon Hills
    ","
            East Legon
        ","
        2,200
    "
"
        4bdrm House in Ga East Municipal for Rent
    ","
            Ga East Municipal
        ","
        4,000
    "
"
        2bdrm Block of Flats in Victor Adzorlolo, West Legon for Rent
    ","
            West Legon
        ","
        2,500
    "
"
        EXECUTIVE 5 BEDROOMS HOUSE WITH 2 BQ AND SWIMMING POOL FOR RENTALS
    ","
            Agbogbloshie
        ","
        12,500
    "
"
        Executive 4 Bedrooms House For Rent At -adjiringanor School Junction
    ","
            East Legon
        ","
        2,500
    "
"
        2bdrm House in Teshie Rasta, Tseaddo for Rent
    ","
            Teshie, Tseaddo
        ","
        3,000
    "
"
        2bdrm Apartment in Fairhaven, Airport Residential Area for Rent
    ","
            Airport Residential Area
        ","
        2,300
    "
"
        Furnished 2bdrm Apartment in Cantonments for Rent
    ","
            Cantonments
        ","
        17,690
    "
"
        3bdrm Apartment in East Legon for Rent
    ","
            East Legon
        ","
        4,700
    "
"
        3bdrm Duplex in Cantonment, Cantonments for Rent
    ","
            Cantonments
        ","
        24,000
    "
"
        4bdrm Duplex in Devtraco Estate, Spintex for Rent
    ","
            Spintex
        ","
        4,500
    "
"
        Newly Built and Executive 4 Bedrooms House for Rentals
    ","
            East Legon
        ","
        6,400
    "
"
        NEWLY BUILT 2  BEDRMS APARTM FOR RENT AT DOME PILLAR 2 FOR 1200GH
    ","
            Agbogbloshie
        ","
        1,200
    "
"
        2bdrm Apartment in Flower Pot, Airport Residential Area for Rent
    ","
            Airport Residential Area
        ","
        4,600
    "
"
        2bdrm House in Scott Agency, Haatso for Rent
    ","
            Haatso
        ","
        2,000
    "
"
        5bdrm House in Ablekuma for Rent
    ","
            Ablekuma
        ","
        1,700
    "
"
        1bdrm Apartment in Close American House for Rent
    ","
            East Legon, American House
        ","
        1,600
    "
"
        5 Bedroom With Boys Quarters for Rent Kasoa Galalea
    ","
            Ga South Municipal
        ","
        1,600
    "
"
        4bdrm Duplex in Living Large, East Legon for Rent
    ","
            East Legon
        ","
        6,800
    "
"
        Furnished 7bdrm Duplex in Ddlzabeth Properties, East Legon for Rent
    ","
            East Legon
        ","
        15,960
    "
"
        4bdrm House in Beverly Hills, Accra Metropolitan for Rent
    ","
            Accra Metropolitan
        ","
        3,500
    "
"
        4bdrm House in Airport Residential Area for Rent
    ","
            Airport Residential Area
        ","
        39,000
    "
"
        4bdrm House in East Legon for Rent
    ","
            East Legon
        ","
        7,104
    "
"
        2bdrm Apartment in Elaffhomesgh, Otano for Rent
    ","
            Adjiriganor, Otano
        ","
        2,000
    "
"
        Furnished 2bdrm Apartment in East Legon for Rent
    ","
            East Legon
        ","
        5,000
    "
"
        Executive 4 Bedrooms House With 1 Boys Quarters for Rent
    ","
            East Legon
        ","
        5,400
    "
"
        4bdrm House in East Legon for rent
    ","
            East Legon
        ","
        16,500
    "
"
        4bdrm House in East Legon for Rent
    ","
            East Legon
        ","
        21,000
    "
"
        3bdrm Townhouse in Sagepropertiesgh, East Legon for Rent
    ","
            East Legon
        ","
        8,700
    "
"
        3bdrm House in Youngest Agent, Dome for Rent
    ","
            Dome
        ","
        2,000
    "
"
        2bdrm Apartment in Adjirigano, Accra Metropolitan for Rent
    ","
            Accra Metropolitan
        ","
        3,600
    "
"
        5bdrm House in East Legon Near for Rent
    ","
            East Legon
        ","
        12,800
    "
"
        1bdrm Bungalow in Dome for Rent
    ","
            Dome
        ","
        450
    "
"
        2bdrm Apartment in Tseaddo,2 Bedroooms, for Rent
    ","
            Teshie, Tseaddo
        ","
        3,000
    "
"
        3bdrm Apartment in East Legon for Rent
    ","
            East Legon
        ","
        4,000
    "
"
        4bdrm Apartment in Sinco Properties, Airport Residential Area for Rent
    ","
            Airport Residential Area
        ","
        9,336
    "
"
        2bdrm Apartment in Hamza Estates, East Legon for Rent
    ","
            East Legon
        ","
        1,400
    "
"
        3bdrm House in East Legon Anc for Rent
    ","
            East Legon
        ","
        11,500
    "
"
        4bdrm House in East Legon for Rent
    ","
            East Legon
        ","
        14,467
    "
"
        2bdrm Apartment in Sowutwuom for Rent
    ","
            Sowutwuom
        ","
        1,500
    "
"
        Newly Built 2 Bed To Let At East Legon 69
    ","
            East Legon
        ","
        4,500
    "
"
        4bdrm House in East Airport for Rent
    ","
            Airport Residential Area
        ","
        6,000
    "
"
        Executive 4-bedrooms House Located At East Legon Hills
    ","
            East Legon
        ","
        4,000
    "
"
        3bdrm Apartment in Frimps Global, American House for Rent
    ","
            East Legon, American House
        ","
        2,200
    "
"
        Furnished 3bdrm Apartment in Airport Residential Area for Rent
    ","
            Airport Residential Area
        ","
        15,000
    "
"
        3bdrm Apartment in Arepa Homes, East Legon for Rent
    ","
            East Legon
        ","
        3,000
    "
"
        Furnished 1bdrm Apartment in Alliance Properties, East Legon for Rent
    ","
            East Legon
        ","
        11,600
    "
"
        3bdrm House in Lake Side, Accra Metropolitan for Rent
    ","
            Accra Metropolitan
        ","
        3,500
    "
"
        5bdrm House in Bice One Real Estate, Ofankor for Rent
    ","
            Ofankor
        ","
        2,500
    "
"
        2bdrm Apartment in East Legon for Rent
    ","
            East Legon
        ","
        3,991
    "
"
        5bdrm House in Excel-Fame Consult, Ridge for Rent
    ","
            Ridge
        ","
        29,000
    "
"
        4bdrm House in Zoomlion, East Legon for Rent
    ","
            East Legon
        ","
        4,500
    "
"
        2bdrm Apartment in Legacy Consult, Ledzokuku-Krowor for Rent
    ","
            Ledzokuku-Krowor
        ","
        1,600
    "
"
        4bdrm Mansion in Excel-Fame Consult, East Legon for Rent
    ","
            East Legon
        ","
        15,000
    "
"
        Furnished 2bdrm Apartment in Living Large, East Legon for Rent
    ","
            East Legon
        ","
        9,300
    "
"
        1bdrm Apartment in Adenta ,Accra for Rent
    ","
            Adenta
        ","
        1,700
    "
"
        4bdrm House in Victor Adzorlolo, Ga East Municipal for Rent
    ","
            Ga East Municipal
        ","
        2,500
    "
"
        4bdrm House in Rosgy Properties Ltd, East Legon for Rent
    ","
            East Legon
        ","
        9,000
    "
"
        3bdrm Apartment in Victor Adzorlolo, West Legon for Rent
    ","
            West Legon
        ","
        3,000
    "
"
        3bdrm House in East Legon for Rent
    ","
            East Legon
        ","
        8,000
    "
"
        2bdrm Duplex in Propertice Affairs, Ga East Municipal for Rent
    ","
            Ga East Municipal
        ","
        2,500
    "
"
        4bdrm House in East Legon Boundary for Rent
    ","
            East Legon, Boundary Road Area
        ","
        6,000
    "
"
        2bdrm Apartment in Tseaddo, Labadi for Rent
    ","
            Labadi
        ","
        1,800
    "
"
        2bdrm Block of Flats in Grade Estate, Baatsona Total for Rent
    ","
            Spintex, Baatsona Total
        ","
        2,000
    "
"
        Furnished 1bdrm Apartment in Airport Residential Area for Rent
    ","
            Airport Residential Area
        ","
        4,000
    "
"
        2bdrm Apartment in Cfc Estate, Achimota for Rent
    ","
            Achimota
        ","
        1,500
    "
"
        2bdrm Apartment in Fair Haven, Airport Residential Area for Rent
    ","
            Airport Residential Area
        ","
        2,200
    "
"
        Executive 4bdrm Mansion Wt 3BQ for Rent at Cantoments
    ","
            Cantonments
        ","
        29,000
    "
"
        Furnished 3bdrm Apartment in East Legon for Rent
    ","
            East Legon
        ","
        8,700
    "
"
        4bedroom House To-Let at Eastlegon
    ","
            East Legon
        ","
        6,000
    "
"
        2 Bedroom Semi Furnished Apartment for Rent at East Legon
    ","
            East Legon
        ","
        4,720
    "
"
        Furnished 1bdrm Apartment in East Legon for Rent
    ","
            East Legon
        ","
        4,500
    "
"
        2bdrm Apartment in West Trassaco, Police Station for Rent
    ","
            East Legon, East Legon Police Station
        ","
        3,600
    "
"
        EXECUTIVE 3 BEDROOMS HUS FOR RENT AT TRASACO FOR 700$ A MONTH
    ","
            Agbogbloshie
        ","
        3,400
    "
"
        4bdrm House in Airport Residential Area for Rent
    ","
            Airport Residential Area
        ","
        13,498
    "
"
        Luxurious 4 Bedrooms Houses For Rentals
    ","
            East Legon
        ","
        5,000
    "
"
        4bdrm Townhouse/Terrace in US Embassy Area for Rent
    ","
            Cantonments, US Embassy Area
        ","
        31,000
    "
"
        3bdrm Apartment in New England, Airport Residential Area for Rent
    ","
            Airport Residential Area
        ","
        8,000
    "
"
        3bdrm Apartment in East Legon Hills, Accra Metropolitan for Rent
    ","
            Accra Metropolitan
        ","
        2,200
    "
"
        4bdrm House in Nthc Estate, Accra Metropolitan for Rent
    ","
            Accra Metropolitan
        ","
        8,400
    "
"
        2bdrm Apartment in Adjirigano, Accra Metropolitan for Rent
    ","
            Accra Metropolitan
        ","
        2,200
    "
"
        3bdrm House in Ecobank, Spintex for Rent
    ","
            Spintex
        ","
        4,000
    "
"
        1bdrm Apartment in Helena Estate Agency, Ga East Municipal for Rent
    ","
            Ga East Municipal
        ","
        1,000
    "
"
        2bdrm Apartment in Bice One Real Estate, Ablekuma for Rent
    ","
            Ablekuma
        ","
        1,200
    "
"
        Executive 6 Bedroom House With Pool for Rent at Airport
    ","
            Airport Residential Area
        ","
        60,000
    "
"
        2bdrm Apartment in Coastal Estate, Spintex for Rent
    ","
            Spintex
        ","
        1,200
    "
"
        2bdrm Apartment in American House, East Legon for Rent
    ","
            East Legon
        ","
        4,500
    "
"
        3bdrm House in Paraku Estate, Spintex for Rent
    ","
            Spintex
        ","
        3,800
    "
"
        2bdrm Apartment in Nana Williams, Ga East Municipal for Rent
    ","
            Ga East Municipal
        ","
        1,200
    "
"
        4bdrm House in Ga East Municipal for Rent
    ","
            Ga East Municipal
        ","
        7,500
    "
"
        2bdrm Apartment in Teshie Lekma for Rent
    ","
            Teshie
        ","
        3,500
    "
"
        Furnished 2bdrm House in East Legon, Accra Metropolitan for rent
    ","
            Accra Metropolitan
        ","
        7,200
    "
"
        2bdrm Apartment in Spintex Coastal Down, Ledzokuku-Krowor for Rent
    ","
            Ledzokuku-Krowor
        ","
        2,500
    "
"
        Furnished 2bdrm Apartment in Airport Residential Area for Rent
    ","
            Airport Residential Area
        ","
        16,000
    "
"
        5bdrm House in Manet Ville Estate, Spintex for Rent
    ","
            Spintex
        ","
        6,500
    "
"
        4 Bedroom Townhouse at Cantonments Renting
    ","
            Cantonments
        ","
        24,000
    "
"
        Executive 4 Bedrooms House for Rent at East Legon-Adjiringanor
    ","
            East Legon
        ","
        7,280
    "
"
        Luxurious 3 Bedrooms Town Houses for Rent East Legon Hills
    ","
            East Legon
        ","
        2,900
    "
"
        4bdrm House in Victor Adzorlolo, Adjiriganor for Rent
    ","
            Adjiriganor
        ","
        11,000
    "
"
        1bdrm Apartment in Riches, Agape for Rent
    ","
            Ablekuma, Agape
        ","
        400
    "
"
        1bdrm Apartment in Dome for Rent
    ","
            Dome
        ","
        1,200
    "
"
        Furnished 2bdrm Apartment in Fear Not, Accra Metropolitan for Rent
    ","
            Accra Metropolitan
        ","
        7,000
    "
"
        5 Bedroom Mansion With 2 BQ for Rent at Cantoment
    ","
            Cantonments
        ","
        34,800
    "
"
        2bdrm Apartment in East Legon for Rent
    ","
            East Legon
        ","
        3,713
    "
"
        2bdrm Apartment in East Legon for Rent
    ","
            East Legon
        ","
        1,800
    "
"
        4bdrm Duplex in East Legon for Rent
    ","
            East Legon
        ","
        21,000
    "
"
        2bdrm Apartment in Roman Church, Adenta for Rent
    ","
            Adenta
        ","
        1,200
    "
"
        3bdrm House in East Legon, Accra Metropolitan for Rent
    ","
            Accra Metropolitan
        ","
        7,200
    "
"
        4bdrm House in Excel-Fame Consult, East Legon for Rent
    ","
            East Legon
        ","
        12,000
    "
"
        Furnished 3bdrm Apartment in Sinco Properties, East Legon for Rent
    ","
            East Legon
        ","
        7,293
    "
"
        4bdrm Mansion in Nana Williams, Airport Residential Area for Rent
    ","
            Airport Residential Area
        ","
        14,500
    "
"
        2bdrm Apartment in East Legon, Boundary Road Area for Rent
    ","
            East Legon, Boundary Road Area
        ","
        2,700
    "
"
        Newly Built Exquisite 5 Bedroom Mansion For Rent At North Ridge
    ","
            Ridge
        ","
        34,800
    "
"
        3bdrm House in Spintex for Rent
    ","
            Spintex
        ","
        3,500
    "
"
        2bdrm Apartment in East Lagon Hills, Ashaley Botwe for Rent
    ","
            Ashaley Botwe
        ","
        2,000
    "
"
        2bdrm Apartment in Adenta for Rent
    ","
            Adenta
        ","
        1,500
    "
"
        1bdrm Shared Apartment in Adjei Kojo, Tema Metropolitan for Rent
    ","
            Tema Metropolitan
        ","
        400
    "
"
        4bdrm House in Cantonment, US Embassy Area for Rent
    ","
            Cantonments, US Embassy Area
        ","
        26,503
    "
"
        3bdrm Duplex in Dr Roko, East Legon for Rent
    ","
            East Legon
        ","
        5,500
    "
"
        4bdrm Mansion in Living Large, East Legon for Rent
    ","
            East Legon
        ","
        8,500
    "
"
        3bdrm Apartment in East Legon for rent
    ","
            East Legon
        ","
        3,800
    "
"
        4bdrm Duplex in Hfc Estate, Spintex for Rent
    ","
            Spintex
        ","
        4,500
    "
"
        3bdrm House in East Legon for Rent
    ","
            East Legon
        ","
        15,000
    "
"
        3bdrm House in Accra Metropolitan for Rent
    ","
            Accra Metropolitan
        ","
        1,500
    "
"
        3bdrm House in Spintex for Rent
    ","
            Spintex
        ","
        3,800
    "
"
        Furnished 3bdrm Apartment in East Legon for Rent
    ","
            East Legon
        ","
        10,000
    "
"
        Executive 4 Bedroom House to Let at East Legon
    ","
            East Legon
        ","
        4,500
    "
"
        3bdrm Apartment in East Legon for Rent
    ","
            East Legon
        ","
        1,800
    "
"
        Furnished 3bdrm Penthouse in East Legon for Rent
    ","
            East Legon
        ","
        24,000
    "
"
        5 BEDROOMS 1 BQ FOR RENTALS AT AIRPORT RESIDENTIAL
    ","
            Agbogbloshie
        ","
        32,500
    "
"
        4bdrm Apartment in Accra Metropolitan for Rent
    ","
            Accra Metropolitan
        ","
        6,600
    "
"
        3bdrm Apartment in Oyarifa for Rent
    ","
            Oyarifa
        ","
        1,800
    "
"
        3bdrm Apartment in Tseaddo for Rent
    ","
            Teshie, Tseaddo
        ","
        5,750
    "
"
        3bdrm House in Ridge, Hospital Area for Rent
    ","
            Ridge, Ridge Hospital Area
        ","
        15,000
    "
"
        2bdrm Apartment in Ecokbank Community, Spintex for Rent
    ","
            Spintex
        ","
        2,100
    "
"
        3bdrm Duplex in Church Road, Accra Metropolitan for Rent
    ","
            Accra Metropolitan
        ","
        3,500
    "
"
        Newly Built 3 Bed Apart to at West Trasacco
    ","
            East Legon
        ","
        3,500
    "
"
        3bedrooms Apartment For Rent At Ablor Adjei Parakuo Estate
    ","
            Ga East Municipal
        ","
        1,500
    "
"
        3bedrooms Apartment To-Let
    ","
            Accra Metropolitan
        ","
        1,700
    "
"
        4bdrm House in Hamza Estates, East Legon for Rent
    ","
            East Legon
        ","
        2,800
    "
"
        4bdrm Duplex in Living Large, East Legon for Rent
    ","
            East Legon
        ","
        12,400
    "
"
        1bdrm Apartment in Hfc Estate, Spintex for Rent
    ","
            Spintex
        ","
        750
    "
"
        3bdrm House in Spintex for Rent
    ","
            Spintex
        ","
        4,500
    "
"
        2bdrm Apartment in Fair Haven, Airport Residential Area for Rent
    ","
            Airport Residential Area
        ","
        2,500
    "
"
        Exec Four Bedroom House for Rent at Westland
    ","
            Ga East Municipal
        ","
        8,400
    "
"
        3bdrm Apartment in Ga East Municipal for Rent
    ","
            Ga East Municipal
        ","
        1,200
    "
"
        3bdrm House in Victor Adzorlolo, West Legon for Rent
    ","
            West Legon
        ","
        7,200
    "
"
        2bdrm Apartment in Adom Agency, New Town for Rent
    ","
            Teshie, Teshie New Town
        ","
        1,700
    "
"
        3bdrm Apartment in Tantra Hills, Accra Metropolitan for Rent
    ","
            Accra Metropolitan
        ","
        2,500
    "
"
        4bdrm House in Close to Trassaco, East Legon for Rent
    ","
            East Legon
        ","
        10,200
    "
"
        3bdrm Townhouse/Terrace in Cantonments for Rent
    ","
            Cantonments
        ","
        17,825
    "
"
        2bdrm Apartment in None, Boi for Rent
    ","
            Abokobi, Boi / Abokobi
        ","
        1,300
    "
"
        3bdrm Apartment in Haatso for Rent
    ","
            Haatso
        ","
        2,000
    "
"
        3bdrm Apartment in East Lagon for Rent
    ","
            East Legon
        ","
        7,000
    "
"
        2bdrm Townhouse/Terrace in East Legon Hills for Rent
    ","
            East Legon
        ","
        4,200
    "
"
        Executive 4 Bedrooms House With Swimming Pool For Rentals At Labone
    ","
            Agbogbloshie
        ","
        27,500
    "
"
        Executive 4 Bedroom Fully Furnished 4 Rent at East Legon
    ","
            East Legon
        ","
        15,660
    "
"
        Furnished 2bdrm Apartment in Sampvillar Agency, Estates for Rent
    ","
            South La, South La Estates
        ","
        6,300
    "
"
        2bdrm House in Mamprobi Camara for Rent
    ","
            Mamprobi
        ","
        800
    "
"
        4bdrm House in Cantoment, Cantonments for Rent
    ","
            Cantonments
        ","
        24,000
    "
"
        5bdrm Duplex in Living Large, East Legon for Rent
    ","
            East Legon
        ","
        7,000
    "
"
        4bdrm Apartment in East Legon for Rent
    ","
            East Legon
        ","
        11,000
    "
"
        3bdrm Apartment in Accra Metropolitan for Rent
    ","
            Accra Metropolitan
        ","
        4,250
    "
"
        2bdrm Apartment in Adjiringano, Ability for Rent
    ","
            Adjiriganor, Ability
        ","
        3,000
    "
"
        3bdrm House in Kboat, Accra Metropolitan for rent
    ","
            Accra Metropolitan
        ","
        2,800
    "
"
        3bdrm House in Tk Estate, Spintex for Rent
    ","
            Spintex
        ","
        5,000
    "
"
        4bdrm Apartment in Cobby Properties, Tema Metropolitan for Rent
    ","
            Tema Metropolitan
        ","
        3,500
    "
"
        Executive Newly Built 3 Bed Apart to Let at Ajiringanor
    ","
            East Legon
        ","
        2,500
    "
"
        5bdrm House in East Legon for Rent
    ","
            East Legon
        ","
        22,000
    "
"
        4bdrm Duplex in Ddl Properties, Ga West Municipal for Rent
    ","
            Ga West Municipal
        ","
        2,500
    "
"
        4bdrm House in East Legon for Rent
    ","
            East Legon
        ","
        9,300
    "
"
        5bedroom Furnished Apartment To-Let
    ","
            East Legon
        ","
        22,000
    "
"
        3bdrm House in Fastinas Real Estate, Ga South Municipal for Rent
    ","
            Ga South Municipal
        ","
        1,800
    "
"
        1bdrm Apartment in Mfund Real Estate, Valley View Area for Rent
    ","
            Oyibi, Valley View Area
        ","
        700
    "
"
        3bdrm House in Fear Not Estate, Spintex for Rent
    ","
            Spintex
        ","
        2,200
    "
"
        2bdrm Apartment in Old Ashongman Manna, Ga East Municipal for Rent
    ","
            Ga East Municipal
        ","
        1,200
    "
"
        4bdrm Townhouse in Ovel Estate, East Legon for Rent
    ","
            East Legon
        ","
        7,800
    "
"
        4bdrm House in East Legon for Rent
    ","
            East Legon
        ","
        26,499
    "
"
        3bdrm House in East Legon for Rent
    ","
            East Legon
        ","
        7,000
    "
"
        4bdrm House in Airport Residential Area for Rent
    ","
            Airport Residential Area
        ","
        33,000
    "
"
        4bdrm House in Amasaman- Stadium, Accra Metropolitan for Rent
    ","
            Accra Metropolitan
        ","
        3,000
    "
"
        2bdrm Apartment in Beverly Hills, Accra Metropolitan for Rent
    ","
            Accra Metropolitan
        ","
        1,500
    "
"
        3bdrm Apartment in Richmond Estate, East Legon for Rent
    ","
            East Legon
        ","
        2,000
    "
"
        2bdrm Apartment in Adenta Sakora for Rent
    ","
            Adenta
        ","
        1,500
    "
"
        Furnished 1bdrm Apartment in Spintex for rent
    ","
            Spintex
        ","
        1,600
    "
"
        2bdrm Apartment in East Legon for Rent
    ","
            East Legon
        ","
        6,000
    "
"
        4bdrm Townhouse in Ringway Estate, Accra Metropolitan for Rent
    ","
            Accra Metropolitan
        ","
        17,579
    "
