Title,Price,Description,Location
"
        3bdrm House in Adjiriganor for Rent
    ","
        GH₵ 9,000
    ","
                            A nice 3 bedroom house with a boys quarters at Adjirigarnor. It has been walled and gated. It is...
                        ","
            Greater Accra, Adjiriganor
        "
"
        3bdrm Apartment in New England, Airport Residential Area for Rent
    ","
        GH₵ 8,000
    ","
                            3bedroom apartment comes with mordern facilities fitted kitchen en-suit rooms big hall going for...
                        ","
            Greater Accra, Airport Residential Area
        "
"
        4bdrm Townhouse/Terrace in Cantonments for Rent
    ","
        GH₵ 48,228
    ","
                            LUXURIOUS 4 BEDROOM TOWNHOUSE FOR RENT IN CANTOMENTS, ACCRA
Price is $6000
Elegance, class and top...
                        ","
            Greater Accra, Cantonments
        "
"
        Furnished 4bdrm Apartment in Cantonments for Rent
    ","
        GH₵ 40,190
    ","
                            FULLY FURNISHED 4BEDROOM DUPLEX FOR RENT IN CANTONMENTS 
Nestled behind the hustle and bustle street...
                        ","
            Greater Accra, Cantonments
        "
"
        1bdrm Duplex in East Legon for Rent
    ","
        GH₵ 900
    ","
                            Chamber and hall self contain for rent at East Legon Ajiriganor neat one going for a cool price for...
                        ","
            Greater Accra, East Legon
        "
"
        2bdrm Apartment in Weija for Rent
    ","
        GH₵ 695
    ","
                            Mandela Apartment: 2-bedroom S/C apartment for start-up family, floor-tiled, full-bathroom,...
                        ","
            Greater Accra, Weija
        "
"
        6bdrm Apartment in Sokode Lokoe, Ho Municipal for Rent
    ","
        GH₵ 2,000
    ","
                            Apartment for rent at Ho . Sokode Lokoe , newly built,
                        ","
            Volta Region, Ho Municipal
        "
"
        3bdrm House in Accra Metropolitan for Rent
    ","
        GH₵ 3,000
    ","
                            Three bedrooms self compound for rent at Adenta. It is located a nice place and close to the main...
                        ","
            Greater Accra, Accra Metropolitan
        "
"
        2bdrm Apartment in Hamza Estate, East Legon for Rent
    ","
        GH₵ 1,500
    ","
                            A Nice two bedrooms apartment for rent at American house area not far from East legon melcom and A&c...
                        ","
            Greater Accra, East Legon
        "
"
        3bdrm Apartment in East Legon for Rent
    ","
        GH₵ 6,000
    ","
                            This is a newly built three bedrooms apartment for rent at Shiashie near Oasis Park 
All rooms...
                        ","
            Greater Accra, East Legon
        "
"
        3bdrm House in Adjiriganor for rent
    ","
        GH₵ 4,000
    ","
                            Standard ultramodern luxury newly built three bedrooms house located in a nice residential serene...
                        ","
            Greater Accra, Adjiriganor
        "
"
        3bdrm Apartment in Albert Real Estate, Gomoa East for Rent
    ","
        GH₵ 700
    ","
                            Three bedroom house at kasoa krispo city, one master bedroom, plus one washroom, kitchen and...
                        ","
            Central Region, Gomoa East
        "
"
        3bdrm Apartment in Eastairport, Accra Metropolitan for Rent
    ","
        GH₵ 8,840
    ","
                            Rental ! 
Spacious 3 Bedroom Apartment
Location: East Airport 
Features 
Rooms En-suite
Air...
                        ","
            Greater Accra, Accra Metropolitan
        "
"
        3bdrm Duplex in Com.2 Estate, Tema Metropolitan for Rent
    ","
        GH₵ 4,000
    ","
                            *3 bedroom + 2 bedroom boys quaters unfurnished house available for rent*
*location*: comm 2,...
                        ","
            Greater Accra, Tema Metropolitan
        "
"
        Furnished 1bdrm Apartment in Ab Majesty Property, Cantonments for Rent
    ","
        GH₵ 14,250
    ","
                            Lavishly Furnished One(1) Bedroom Apartment For Rent
Cantonments
Price:-...
                        ","
            Greater Accra, Cantonments
        "
"
        3bdrm Apartment in East Legon for Rent
    ","
        GH₵ 2,500
    ","
                            Three-bedroom self-contained apartments available for rent at East legon American house nice...
                        ","
            Greater Accra, East Legon
        "
"
        Furnished 1bdrm Apartment in East Legon for Rent
    ","
        GH₵ 4,200
    ","
                            A stupendous 1 bedroom full furnished apartment is up for rent in east legon.
$700 per month
3...
                        ","
            Greater Accra, East Legon
        "
"
        Furnished 2bdrm House in East Airport Near, Accra Metropolitan
    ","
        GH₵ 3,000
    ","
                            Two bedroom self compound for rent at east airport, near tseaddo round about. all rooms en-suite...
                        ","
            Greater Accra, Accra Metropolitan
        "
"
        4bdrm House in US Embassy Area for Rent
    ","
        GH₵ 36,000
    ","
                            Ref Number... Jul-2222D
Executive 4 bedroom house with 1 bedroom boys quarter plus an underground...
                        ","
            Greater Accra, Cantonments
        "
"
        4bdrm Townhouse/Terrace in East Legon for Rent
    ","
        GH₵ 11,775
    ","
                            Newly built 4 bedroom townhouse for rent at East Legon -Ogbojo. Comes with AC, Wardrope, visitors...
                        ","
            Greater Accra, East Legon
        "
"
        Furnished 2bdrm Apartment for Rent
    ","
        GH₵ 800
    ","
                            Executive 2bedroom apartment
located at Kasoa Tuba road
going for 800gh accept 1year rent
Wall and...
                        ","
            Central Region, Awutu Senya East Municipal
        "
"
        4bdrm Duplex in Living Large, East Legon for Rent
    ","
        GH₵ 12,800
    ","
                            4 BEDROOM LUXURIOUS HOUSE FOR RENT AT EAST LEGON AJIRIGANOR 
4 bedrooms is available for rent At...
                        ","
            Greater Accra, East Legon
        "
